Player,Fls,Fld,Recov,aerWon,aerLost
Jack Colback,9,8,24,4,8
Séamus Coleman,10,21,100,18,16
David Čolina,1,4,20,1,4
Álex Collado,9,10,33,4,8
Diego Collado,0,0,0,0,0
Omar Colley,15,18,73,27,30
Nathan Collins,17,9,96,37,31
Lorenzo Colombo,36,16,52,41,118
Andrea Colpani,22,26,55,6,10
Levi Colwill,8,10,74,45,18
Kingsley Coman,9,21,71,11,10
Eray Cömert,22,11,106,44,31
Santi Comesaña,49,28,173,32,44
Andrea Consigli,0,4,32,9,1
Abdu Conté,12,12,71,16,7
Andrea Conti,0,1,1,0,0
Lewis Cook,15,10,129,7,10
Steve Cook,5,2,35,27,10
Liam Cooper,12,10,107,56,32
Copete,47,24,113,39,16
Diego Coppola,10,0,70,47,34
Francis Coquelin,11,7,36,6,4
Sébastien Corchia,16,18,52,12,10
Alex Cordaz,0,0,0,0,0
Maxwel Cornet,2,2,15,6,11
Jesús Corona,2,5,5,0,2
Ángel Correa,19,20,63,5,16
Joaquín Correa,12,18,41,4,12
Thierry Correia,39,44,149,24,20
Alessandro Cortinovis,0,0,0,0,3
Danny da Costa,8,3,81,18,11
David Pereira da Costa,14,14,67,3,11
Diego Costa,29,10,25,30,59
Jaume Costa,44,32,122,30,26
Logan Costa,2,4,24,5,3
Nuno da Costa,37,57,67,45,68
Samu Costa,51,44,143,48,24
Benoît Costil,0,0,18,2,0
Vladimír Coufal,30,21,150,40,22
Lassana Coulibaly,53,50,222,29,38
Soumaïla Coulibaly,1,0,1,1,0
Tanguy Coulibaly,8,5,26,0,5
Thibaut Courtois,0,3,59,9,0
Mathieu Coutadeur,6,13,150,9,13
Philippe Coutinho,16,14,41,3,13
Yan Couto,12,15,78,1,7
Conor Coventry,0,0,0,0,0
Nicolas Cozza,8,19,62,21,23
Nicolas Cozza,0,1,6,1,0
Alessio Cragno,0,0,2,0,0
Matthew Craig,0,0,0,0,0
Aaron Cresswell,9,9,120,28,27
Bryan Cristante,52,19,209,75,41
Domen Črnigoj,6,2,21,5,7
Juan Cruz Armada,17,9,94,18,22
Juan Cruz,4,2,8,1,2
Juan Cuadrado,33,44,115,11,13
Marc Cucurella,16,21,120,16,13
Jorge Cuenca,4,1,28,15,7
Braian Cufré,5,3,13,0,1
Mickaël Cuisance,8,5,40,5,12
Matheus Cunha,20,21,50,7,37
Matheus Cunha,7,6,16,3,14
Curro,1,0,3,0,2
Marco D'Alessandro,6,9,19,2,2
Danilo D'Ambrosio,16,11,39,8,9
Luca D'Andrea,4,9,13,2,3
Damien Da Silva,8,2,13,12,7
Moanes Dabbur,12,17,44,7,22
Andréa Dacourt,0,0,0,0,0
Colin Dagba,14,6,51,3,5
Finn Dahmen,0,0,18,7,1
Mahmoud Dahoud,3,2,24,1,3
Patson Daka,23,15,36,26,45
Thijs Dallinga,35,19,41,56,68
Diogo Dalot,21,3,152,39,18
Muhammed Damar,6,1,12,2,2
Mikkel Damsgaard,13,11,70,10,9
Flavius Daniliuc,33,4,132,39,28
Flavius Daniliuc,2,0,5,1,0
Danilo,4,3,60,4,14
Danilo,33,17,196,53,38
Arnaut Danjuma,0,1,1,1,2
Arnaut Danjuma,2,7,10,0,3
Kévin Danois,0,0,0,0,0
Kevin Danso,39,57,224,82,32
Dante,38,18,261,74,28
Márton Dárdai,11,9,52,17,17
Sergi Darder,31,78,205,12,13
Achraf Dari,13,13,78,35,24
Vladimír Darida,1,1,1,0,1
Matteo Darmian,21,20,121,15,23
Josh Dasilva,14,23,66,6,8
David Datro Fofana,3,3,6,0,0
Juan David Cabal,7,2,41,18,15
Jonathan David,41,59,89,16,64
Alphonso Davies,9,26,199,6,6
Ben Davies,30,17,84,70,53
Tom Davies,10,6,28,7,13
Paweł Dawidowicz,37,13,120,43,27
Craig Dawson,6,3,45,14,7
Craig Dawson,11,10,75,34,36
Kevin De Bruyne,20,29,97,13,13
Charles De Ketelaere,19,15,56,19,30
Manuel De Luca,3,2,1,0,3
Tommaso De Nipoti,0,0,1,1,0
Rodrigo De Paul,33,49,127,6,8
Mattia De Sciglio,4,11,40,10,11
Lorenzo De Silvestri,6,6,39,14,12
Thibault De Smet,25,9,104,31,7
Koni De Winter,13,2,58,16,11
Grégoire Defrel,14,14,29,6,24
Duccio Degl'Innocenti,0,0,0,0,0
Brecht Dejaegere,40,37,86,8,16
Romain Del Castillo,19,24,86,18,24
Alberto Del Moral,0,0,0,0,0
Thomas Delaine,15,12,53,11,11
Thomas Delaney,4,5,8,9,2
Thomas Delaney,3,6,25,11,4
Sacha Delaye,1,0,3,1,1
Fran Delgado,0,0,0,0,0
Andy Delort,8,9,12,28,25
Andy Delort,9,4,9,12,21
Karamoko Dembele,5,9,13,0,4
Moussa Dembélé,17,3,22,29,22
Ousmane Dembélé,16,19,60,4,12
Siriki Dembélé,1,2,9,0,4
Siriki Dembélé,8,9,24,2,8
Merih Demiral,13,13,123,52,29
Kerem Demirbay,31,22,100,9,11
Ermedin Demirović,49,31,83,66,106
Diego Demme,2,3,5,2,1
Sepp van den Berg,4,0,45,14,15
Branco van den Boomen,33,19,182,6,12
Leander Dendoncker,1,1,36,10,8
Leander Dendoncker,0,0,16,2,5
Emmanuel Dennis,15,29,38,13,16
Fabio Depaoli,43,31,113,24,39
Fabio Depaoli,1,7,6,0,2
Kastriot Dermaku,0,0,0,0,0
Halil Dervişoğlu,0,0,0,0,0
Rémy Descamps,0,0,0,0,0
Mikkel Desler,28,32,165,23,9
Cyriel Dessers,34,14,30,16,48
Sergiño Dest,6,4,29,3,1
Mattia Destro,12,5,9,8,20
Gerard Deulofeu,8,11,44,1,4
Kiernan Dewsbury-Hall,37,35,149,15,13
Samuel Di Carmine,0,0,1,0,2
Federico Di Francesco,43,32,86,7,21
Michele Di Gregorio,0,3,31,4,1
Giovanni Di Lorenzo,31,36,171,41,34
Ángel Di María,6,24,52,1,6
Boulaye Dia,28,43,97,20,58
Moussa Diaby,18,24,87,2,20
Mouctar Diakhaby,23,13,149,48,40
