Player,Weekly Wages
Josha Vagnoman,15552.0
Ritsu Doan,15552.0
Anthony Losilla,15221.0
Anton Stach,15055.0
Lee Jae-sung,14559.0
Kevin Akpoguma,14394.0
Ruben Vargas,14063.0
Rani Khedira,14063.0
Andreas Hanche-Olsen,13897.0
Ohis Felix Uduokhai,13236.0
Konstantinos Mavropanos,12574.0
Waldemar Anton,12408.0
Amos Pieper,12408.0
Thomas Ouwejan,12408.0
Maximilian Eggestein,12243.0
Kostas Stafylidis,12243.0
Ilia Gruev,11912.0
Marcus Ingvartsen,11912.0
Christopher Lenz,11912.0
Christopher Trimmel,11250.0
Philipp Lienhart,11250.0
Wataru Endo,10919.0
Steffen Tigges,10919.0
Borna Sosa,10588.0
Ridle Baku,9927.0
Jens Stage,9927.0
Danilho Doekhi,9927.0
Kenan Karaman,9927.0
Karim Onisiwo,9761.0
Marco Friedl,9596.0
Benno Schmitz,9596.0
Silas Katompa,9265.0
Roland Sallai,9265.0
Alexander Hack,9099.0
Sheraldo Becker,8603.0
Patrick Osterhage,8603.0
Atakan Karazor,7776.0
Cristian Gamboa,7776.0
Moritz Jenz,7776.0
Mads Pedersen,7610.0
Marco Richter,7445.0
Gerrit Holtmann,7445.0
Simon Zoller,7280.0
Danilo Soares,7114.0
Micky van de Ven,6949.0
Junior Dina Ebimbe,6949.0
Fredrik Jensen,6783.0
Christoph Baumgartner,6452.0
Philipp Hofmann,6452.0
Julian Chabot,6287.0
Linton Maina,5956.0
Diogo Leite,5625.0
Maximilian Bauer,4963.0
Paul Jaeckel,4963.0
Eric Martel,4467.0
Henning Matriciani,4467.0
Robert Gumny,4136.0
Saidy Janko,4136.0
Youssoufa Moukoko,3971.0
Omar Marmoush,3805.0
Romano Schmid,3474.0
Tuta,3474.0
Maxence Lacroix,3143.0
Kevin Behrens,3143.0
Ansgar Knauff,2647.0
Joe Scally,2482.0
Luca Kilian,2482.0
Niklas Schmidt,2151.0
Leandro Barreiro Martins,2151.0
Felix Nmecha,1820.0
Kiliann Sildillia,1820.0
Arne Engels,1654.0
Takuma Asano,827.0
Christopher Antwi-Adjei,496.0
Lionel Messi,1052888.0
Neymar,932444.0
Achraf Hakimi,240721.0
Marco Verratti,238240.0
Sergio Ramos,180334.0
Juan Bernat,144929.0
Nordi Mukiele,138973.0
Wissam Ben Yedder,129047.0
Jordan Veretout,109193.0
Aaron Ramsey,90167.0
Alexandre Lacazette,89340.0
Corentin Tolisso,79413.0
Dejan Lovren,79413.0
Hugo Ekitike,79413.0
Breel Embolo,66509.0
Valentin Rongier,65516.0
Chancel Mbemba,63531.0
Moussa Sissoko,61545.0
Thiago Mendes,59560.0
Aleksandr Golovin,59560.0
Maxence Caqueret,55589.0
Jonathan Clauss,54597.0
Danilo Pereira,52942.0
Wahbi Khazri,49633.0
Martin Terrier,49633.0
Vanderson,49633.0
Arthur Theate,48144.0
Caio Henrique Oliveira Silva,44670.0
Rayan Cherki,41692.0
Benjamin Bourigeaud,37721.0
Samuel Gigot,37556.0
Rony Lopes,36398.0
Pierre Lees-Melou,33751.0
Folarin Balogun,29780.0
Ismaily,29780.0
Moses Simon,29780.0
Seko Fofana,29780.0
Mostafa Mohamed,29284.0
Jonathan David,27795.0
Nuno Tavares,27629.0
Baptiste Santamaria,25975.0
Ross Barkley,25809.0
Jeremy Doku,25809.0
Lovro Majer,25809.0
Dante,24817.0
Arnaud Kalimuendo,24817.0
Ruben Aguilar,24817.0
Jordan Ferri,23824.0
Flavien Tait,23824.0
Jonathan Bamba,23824.0
Nuno Mendes,23824.0
Nicolas Pallois,21839.0
Frederic Guilbert,21177.0
Abdallah Sima,20515.0
Junya Ito,19853.0
Yunis Abdelhamid,19853.0
Edon Zhegrova,19853.0
Jean-Clair Todibo,19522.0
Habib Diarra,18861.0
Maxime Busi,18033.0
Islam Slimani,18033.0
Andrei Girotto,17868.0
Leonardo Balerdi,16379.0
Florian Tardieu,15883.0
Adrien Hunou,15883.0
Ludovic Blas,15883.0
Fabien Centonze,15552.0
Jean-Eudes Aholou,15386.0
Christopher Jullien,14890.0
Branco van den Boomen,13897.0
Renaud Ripart,13897.0
M'Baye Niang,13897.0
Romain Hamouma,13897.0
Alexander Djiku,13897.0
Adil Rami,12905.0
Xavier Chavalerin,12905.0
Nabil Bentaleb,12905.0
Maxime Gonalons,12905.0
Jordan Lotomba,12574.0
Arnaud Nordin,12408.0
Brecht Dejaegere,11912.0
Rayan Raveloson,11912.0
Arber Zeneli,11912.0
Azor Matusiwa,11912.0
Jens Cajuste,11912.0
Marshall Munetsi,11912.0
Thomas Foket,11912.0
Johann Lepenant,11912.0
Pedro Chirivella,11912.0
Kenny Lala,11912.0
Axel Disasi,11912.0
Angel Gomes,11747.0
Jubal,11581.0
Timothy Weah,11581.0
Souleyman Doumbia,11250.0
Erik Palmer-Brown,10919.0
Jackson Porozo,10919.0
Lucien Agoume,10919.0
Yoann Salmier,10919.0
Colin Dagba,10919.0
Ismail Jakobs,10754.0
Habib Diallo,10092.0
Sinaly Diomande,10092.0
Ado Onaiwu,9927.0
Gabriel Suazo,9927.0
Mikkel Desler,9927.0
Ibrahima Niane,9927.0
Thomas Mangani,9927.0
Emmanuel Agbadou,9927.0
Franck Honorat,9927.0
Joe Rodon,9596.0
Montassar Talbi,9430.0
Rasmus Nicolaisen,9099.0
Batista Mendy,9099.0
Pierrick Capelle,8934.0
Gedeon Kalulu,8934.0
Jean-Charles Castelletto,8934.0
Johan Gastien,8934.0
Brendan Chardonnet,8934.0
Haris Belkebla,8934.0
Romain Del Castillo,8934.0
Maximiliano Caufriez,8769.0
Thomas Delaine,8603.0
Mathias Pereira Lage,8438.0
Stephy Mavididi,8272.0
Kevin Danso,8272.0
Youssouf M'Changama,7941.0
Achraf Dari,7941.0
Eliesse Ben Seghir,7941.0
Gerzino Nyamsi,7445.0
Neto Borges,7445.0
Julien Laporte,7280.0
Gideon Mensah,6949.0
Florent Ogier,6949.0
Maxime Le Marchand,6618.0
Malo Gusto,6618.0
Pablo Rosario,6452.0
Julien Ponceau,6452.0
Bradley Barcola,6452.0
Vincent Marchetti,5956.0
Mitchell van Bergen,5791.0
Sada Thioub,5625.0
Jean-Ricner Bellegarde,5625.0
Deiver Machado,5625.0
Ibrahima Sissoko,5460.0
Han-Noah Massengo,5294.0
Mathias Autret,5294.0
Zakaria Aboukhlal,4963.0
Gauthier Hein,4963.0
Nuno da Costa,4963.0
Evann Guessand,4963.0
Alidu Seidu,4963.0
Grejohn Kyei,4963.0
Mahdi Camara,4963.0
Hicham Boudaoui,4798.0
Youssouf Fofana,4632.0
Faitout Maouassa,4467.0
Andreas Bruus,4467.0
Hamza Sakhi,4467.0
Julian Jeanvier,4467.0
Bonke Innocent,4467.0
Mateusz Wieteska,4467.0
Muhammed Cham,4467.0
Salis Abdul Samed,4467.0
Vincent Le Goff,4136.0
Amine Salama,3971.0
Laurent Abergel,3971.0
Florian Sotoca,3971.0
Mathieu Coutadeur,3805.0
Jean-Kevin Duverne,3640.0
Kevin Spadanuda,3474.0
