Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Youcef Belaïli,212,2,22,84,110,13,15,4,149,4,144,31
Haris Belkebla,1524,58,353,979,214,15,34,11,1097,4,946,37
Stefan Bell,1551,180,849,653,59,18,7,6,767,0,760,10
Armel Bella Kotchap,1211,209,654,519,46,22,11,4,697,2,682,2
Raoul Bellanova,373,24,115,127,135,13,12,7,230,3,246,37
Karim Bellarabi,68,1,9,25,35,4,5,1,41,2,55,11
Jean-Ricner Bellegarde,1589,30,219,833,569,45,111,57,1129,16,1035,110
Héctor Bellerín,107,1,17,50,41,5,4,3,54,1,66,6
Jude Bellingham,2091,48,342,1171,606,105,151,86,1342,24,1568,139
Jeanuël Belocian,353,24,123,191,41,4,4,2,248,1,223,21
Andrea Belotti,404,7,34,164,210,52,33,7,226,11,322,94
Fran Beltrán,2062,62,454,1253,366,11,22,16,1239,4,1354,33
Eliesse Ben Seghir,583,2,38,284,272,40,36,14,459,8,440,93
Salim Ben Seghir,4,0,0,2,2,0,0,0,3,0,3,0
Wissam Ben Yedder,799,0,22,325,458,151,51,23,610,26,599,198
Marco Benassi,112,1,25,64,24,3,1,0,81,0,85,6
Marco Benassi,461,20,109,221,136,17,9,8,225,0,224,30
Iker Benito,66,4,19,24,26,3,9,3,34,2,35,15
Ismaël Bennacer,1666,30,300,1023,369,10,49,27,985,4,1097,52
Saïd Benrahma,1091,16,131,399,583,94,123,51,699,44,800,237
Ramy Bensebaini,1885,138,685,870,345,54,32,12,940,11,1061,98
Nabil Bentaleb,2186,70,511,1366,358,15,111,63,1628,6,1471,28
Rodrigo Bentancur,1071,52,295,612,175,19,34,21,581,1,732,19
Daniel Bentley,87,83,87,0,0,0,0,0,29,0,34,0
Karim Benzema,1284,7,56,457,776,175,44,20,796,31,1092,157
Domenico Berardi,1179,17,102,463,628,111,50,22,766,31,905,213
Yuri Berchiche,1865,92,478,899,506,24,30,12,966,3,1047,95
Álex Berenguer,1298,22,135,390,794,117,85,37,716,35,848,249
Bartosz Bereszyński,759,48,255,317,198,13,15,4,329,1,354,40
Bartosz Bereszyński,124,6,33,60,32,1,3,1,61,0,66,7
Patrick Berg,23,0,5,15,3,0,1,0,17,0,16,4
Mitchell van Bergen,437,10,57,158,239,37,38,14,314,15,275,89
Mergim Berisha,551,23,55,184,322,81,31,5,263,11,324,99
Quentin Bernard,473,32,152,242,82,2,4,1,324,0,290,14
Paul Bernardoni,742,619,739,3,0,0,0,0,446,0,247,0
Juan Bernat,1170,43,286,543,348,64,40,21,912,14,849,143
Victor Bernth Kristiansen,607,33,234,255,123,4,15,7,278,0,302,24
Jason Berthomier,20,0,1,13,6,0,0,0,16,0,17,2
Marco Bertini,0,0,0,0,0,0,0,0,0,0,0,0
Beto,652,34,49,274,336,130,76,32,364,14,475,121
Owen Bevan,3,0,3,0,0,0,0,0,1,0,1,0
Matteo Bianchetti,1169,188,692,447,37,13,3,2,552,0,586,4
Alessandro Bianco,91,2,18,59,14,1,2,0,49,0,68,2
Giulian Biancone,25,2,19,5,1,0,0,0,10,0,13,1
Ermin Bičakčić,137,32,76,43,18,4,0,0,59,0,62,3
Pedro Bigas,1302,174,681,569,63,19,8,5,722,0,766,3
Jaka Bijol,1729,296,1068,612,53,40,5,2,972,2,1032,7
El Bilal Touré,407,26,46,196,172,53,17,6,201,9,261,51
El Bilal Touré,29,1,3,13,13,3,2,1,13,0,17,1
Philip Billing,1410,76,334,666,428,71,47,26,727,6,900,101
Jean-Claude Billong,35,4,10,24,1,0,0,0,29,0,26,0
Cristiano Biraghi,2213,72,534,904,793,26,20,7,1011,10,1214,113
Samuele Birindelli,957,51,277,372,321,30,20,11,509,7,606,121
Veljko Birmančević,240,7,37,90,116,21,22,5,182,11,169,50
Tom Bischof,182,2,35,77,74,8,9,1,101,2,105,12
Yves Bissouma,826,23,164,536,127,2,9,7,504,1,613,10
Kristijan Bistrović,168,5,29,84,55,3,1,1,83,0,99,8
Leonardo Bittencourt,1031,19,176,568,303,38,64,26,611,7,706,93
Marco Bizot,1200,1060,1199,1,0,0,0,0,749,0,472,0
Lautaro Blanco,494,12,127,163,209,6,23,10,261,1,281,76
Rubén Blanco,216,169,216,0,0,0,0,0,167,0,119,0
Ludovic Blas,1627,10,154,785,723,103,172,82,1235,39,1128,248
Janis Blaswich,1191,846,1160,31,0,0,1,1,786,0,752,0
Miha Blažič,1346,187,696,640,12,8,1,0,976,0,893,0
Joaquín Blázquez,32,26,32,0,0,0,0,0,15,0,6,0
Alexis Blin,1299,86,352,697,257,33,11,5,536,1,665,32
Daley Blind,117,10,44,65,9,0,0,0,62,0,74,0
Myron Boadu,98,1,7,39,53,23,4,1,65,3,75,21
Jérôme Boateng,261,47,138,122,1,0,0,0,180,0,167,0
Kevin-Prince Boateng,320,11,66,172,85,15,4,1,156,2,203,20
Antonin Bobichon,23,0,2,9,13,3,0,0,16,0,15,8
Jean-Paul Boëtius,564,25,152,313,108,7,17,7,275,0,323,23
Jeremie Boga,600,1,43,228,344,37,95,48,418,20,489,78
Emil Bohinen,610,36,172,335,110,6,18,8,320,0,355,16
Quentin Boisgard,135,2,21,58,58,8,4,1,90,1,84,15
Willy Boly,353,69,239,101,15,9,2,1,171,0,182,0
Giacomo Bonaventura,1134,14,132,573,456,69,54,23,707,10,804,91
Federico Bonazzoli,487,0,33,269,191,31,23,12,304,3,378,67
Warren Bondo,60,0,8,40,13,0,4,3,45,0,51,2
Theo Bongonda,766,17,118,282,387,55,98,40,480,20,497,105
Kevin Bonifazi,828,127,448,364,22,4,7,5,549,0,613,0
Leonardo Bonucci,658,102,326,326,10,7,1,1,405,0,460,1
Neto Borges,1869,104,566,759,576,69,94,47,1197,13,1050,189
Yvandro Borges Sanches,15,2,3,7,6,0,2,2,9,0,9,5
Sebastiaan Bornauw,1433,170,693,695,54,16,4,2,871,0,948,6
Rafael Borré,571,12,55,260,260,67,32,16,349,15,428,102
Erik Botheim,300,7,38,146,118,23,7,2,166,3,230,61
Sven Botman,2074,338,1188,801,95,53,1,1,1171,2,1347,5
Kenji-Van Boto,83,5,24,40,20,2,0,0,53,0,50,10
Kouamé Botué,84,1,7,31,49,13,5,1,54,3,57,16
Badredine Bouanani,498,1,61,203,243,35,51,27,406,16,389,98
Hicham Boudaoui,1511,48,352,880,297,25,67,29,1166,7,1070,55
Franci Bouebari,36,1,13,12,11,0,1,1,14,0,13,2
Sofiane Boufal,613,1,43,298,285,38,80,39,499,17,488,94
Yassine Bounou,1011,766,995,17,0,0,1,1,596,0,566,0
Ismaëlben Boura,88,5,21,40,27,1,6,4,58,1,50,11
Mehdi Bourabia,1639,98,422,832,409,21,64,28,810,5,956,58
Benjamin Bourigeaud,2305,53,274,1149,904,80,33,14,1716,4,1602,250
Edoardo Bove,532,12,107,301,131,20,13,5,263,2,289,26
Jarrod Bowen,1318,32,186,451,693,157,118,36,731,56,793,213
Lucas Boyé,1121,50,107,585,456,116,130,78,720,25,810,160
Jayden Braaf,129,1,16,63,54,16,24,15,89,5,91,29
Domagoj Bradarić,1352,50,398,609,368,22,50,17,706,8,744,107
Bilal Brahimi,487,1,45,198,250,27,34,18,385,9,383,100
Martin Braithwaite,696,10,55,287,362,75,53,17,410,11,514,126
Juan Brandáriz,970,105,519,363,93,8,16,7,532,1,577,10
Julian Brandt,1634,14,172,668,814,80,81,41,989,27,1186,218
Darko Brašanac,489,12,79,245,171,28,10,4,246,0,292,36
Lilian Brassier,1973,242,951,869,177,28,29,13,1311,0,1145,29
Claudio Bravo,414,333,412,3,0,0,0,0,208,0,144,0
Fabian Bredlow,625,524,623,2,0,0,0,0,383,0,339,0
James Bree,213,18,71,67,75,2,3,2,93,0,111,12
Josip Brekalo,127,0,10,49,71,8,10,6,82,2,98,31
Josip Brekalo,168,0,21,103,48,3,8,5,106,2,134,17
Gleison Bremer,1994,287,1100,827,76,50,7,3,1146,0,1304,4
